ZZ Top,Sharp Dressed Man,0f9h8awV1X4jSllHXXYdfX,4,0.653,0.766,0,-8.078,1,0.0261,0.000464,0.00206,0.103,0.396,125.113,251947,4
ZZ Top,Gimme All Your Lovin',0OBwxFLu6Yj61s2OagYbgY,4,0.63,0.788,5,-6.7,1,0.0298,0.00322,0.0237,0.0883,0.63,120.059,241080,4
Hall and Oates,Sara Smile,1qjrYozGqc7upUgfN776lZ,4,0.592,0.397,2,-10.81,0,0.0676,0.354,0.000894,0.119,0.205,150.038,185293,3
Wings,Let 'Em In,2xAacCD0MW3UBFugKVHbJc,4,0.754,0.369,10,-15.767,1,0.0617,0.495,0.237,0.0908,0.644,88.062,310093,4
Commodores,Easy,1JQ6Xm1JrvHfvAqhl5pwaA,4,0.598,0.353,10,-15.06,0,0.0343,0.147,0.0000391,0.0592,0.342,132.457,256427,4
Hues Corporation,Rock the Boat,0s45sL9DLOcro6VbmagQKl,4,0.606,0.71,3,-8.441,1,0.0739,0.328,0,0.115,0.795,106.918,186707,4
Rolling Stones,Start Me Up,7HKez549fwJQDzx3zLjHKC,4,0.638,0.928,5,-4.078,1,0.0388,0.0531,0.11,0.0875,0.966,122.428,213067,4
Bruce Springsteen,Dancing in the Dark,7FwBtcecmlpc1sLySPXeGE,4,0.527,0.942,1,-5.64,0,0.0366,0.0115,0,0.188,0.495,148.723,241307,4
Elvis Costello,Alison,1v98rfd0an913AzHvMNG8a,5,0.738,0.316,1,-10.763,0,0.0357,0.719,0.00000944,0.145,0.377,88.172,204533,4
Tom Petty,American Girl,7MRyJPksH3G2cXHN8UKYzP,5,0.55,0.824,2,-5.988,1,0.0334,0.448,0.000127,0.366,0.777,114.512,214733,4
AC/DC,Highway to Hell,2zYzyRzz6pRmhPzyfMEC8s,5,0.573,0.913,6,-4.793,0,0.132,0.0591,0.00173,0.156,0.422,115.715,208400,4
AC/DC,You Shook Me All Night Long,6yl8Es1tCYD9WdSkeVLFw4,5,0.529,0.768,7,-5.51,1,0.0566,0.00224,0.000685,0.297,0.769,127.316,210880,4
Adele,Someone Like You,4kflIGfjdZJW4ot2ioixTB,5,0.559,0.33,9,-8.251,1,0.0285,0.892,0,0.0975,0.285,135.109,285040,4
